repository	relative_path	remote_path	type	size_bytes	modified_epoch	symlink_target	classification	snapshotted	sha256
Fast-Drone-250	.	/home/ubuntu/Fast-Drone-250	d	4096	1773997916.4309412270		other	no	
Fast-Drone-250	purchase_list.xlsx	/home/ubuntu/Fast-Drone-250/purchase_list.xlsx	f	21608	1712128968.6163257410		other	no	
Fast-Drone-250	readme.pdf	/home/ubuntu/Fast-Drone-250/readme.pdf	f	686912	1712128968.6203257860		binary_or_media	no	
Fast-Drone-250	3rd_party.zip	/home/ubuntu/Fast-Drone-250/3rd_party.zip	f	12627744	1712128968.5963255160		other	no	
Fast-Drone-250	carbon_board	/home/ubuntu/Fast-Drone-250/carbon_board	d	4096	1712128968.6043256060		other	no	
Fast-Drone-250	carbon_board/顶板.STL	/home/ubuntu/Fast-Drone-250/carbon_board/顶板.STL	f	178084	1712128968.6043256060		other	no	
Fast-Drone-250	carbon_board/底板.STEP	/home/ubuntu/Fast-Drone-250/carbon_board/底板.STEP	f	539702	1712128968.6043256060		other	no	
Fast-Drone-250	carbon_board/底板.STL	/home/ubuntu/Fast-Drone-250/carbon_board/底板.STL	f	244484	1712128968.6043256060		other	no	
Fast-Drone-250	carbon_board/顶板.STEP	/home/ubuntu/Fast-Drone-250/carbon_board/顶板.STEP	f	697076	1712128968.6043256060		other	no	
Fast-Drone-250	logs	/home/ubuntu/Fast-Drone-250/logs	d	4096	1753261830.4000754860		generated_or_vcs	no	
Fast-Drone-250	logs/catkin_tools_prebuild	/home/ubuntu/Fast-Drone-250/logs/catkin_tools_prebuild	d	4096	1753261992.2320828020		generated_or_vcs	no	
Fast-Drone-250	logs/catkin_tools_prebuild/build.mkdir.006.log	/home/ubuntu/Fast-Drone-250/logs/catkin_tools_prebuild/build.mkdir.006.log	f	0	1753261934.8000802050		generated_or_vcs	no	
Fast-Drone-250	logs/catkin_tools_prebuild/build.loadenv.001.log	/home/ubuntu/Fast-Drone-250/logs/catkin_tools_prebuild/build.loadenv.001.log	f	67	1753261892.3120782850		generated_or_vcs	no	
Fast-Drone-250	logs/catkin_tools_prebuild/build.loadenv.002.log	/home/ubuntu/Fast-Drone-250/logs/catkin_tools_prebuild/build.loadenv.002.log	f	67	1753261924.4320797370		generated_or_vcs	no	
Fast-Drone-250	logs/catkin_tools_prebuild/build.cache-manifest.002.log	/home/ubuntu/Fast-Drone-250/logs/catkin_tools_prebuild/build.cache-manifest.002.log	f	0	1753261924.4360797370		generated_or_vcs	no	
Fast-Drone-250	logs/catkin_tools_prebuild/build.loadenv.004.log	/home/ubuntu/Fast-Drone-250/logs/catkin_tools_prebuild/build.loadenv.004.log	f	67	1753261992.1320827970		generated_or_vcs	no	
Fast-Drone-250	logs/catkin_tools_prebuild/build.mkdir.003.log	/home/ubuntu/Fast-Drone-250/logs/catkin_tools_prebuild/build.mkdir.003.log	f	0	1753261892.3160782850		generated_or_vcs	no	
Fast-Drone-250	logs/catkin_tools_prebuild/build.mkdir.002.log	/home/ubuntu/Fast-Drone-250/logs/catkin_tools_prebuild/build.mkdir.002.log	f	0	1753261892.3120782850		generated_or_vcs	no	
Fast-Drone-250	logs/catkin_tools_prebuild/build.cmake.001.log	/home/ubuntu/Fast-Drone-250/logs/catkin_tools_prebuild/build.cmake.001.log	f	903	1753261892.4040782890		generated_or_vcs	no	
Fast-Drone-250	logs/catkin_tools_prebuild/build.cmake.004.log	/home/ubuntu/Fast-Drone-250/logs/catkin_tools_prebuild/build.cmake.004.log	f	903	1753261992.2320828020		generated_or_vcs	no	
Fast-Drone-250	logs/catkin_tools_prebuild/build.cmake.000.log.stderr	/home/ubuntu/Fast-Drone-250/logs/catkin_tools_prebuild/build.cmake.000.log.stderr	f	408	1753261831.3680755300		generated_or_vcs	no	
Fast-Drone-250	logs/catkin_tools_prebuild/build.mkdir.008.log	/home/ubuntu/Fast-Drone-250/logs/catkin_tools_prebuild/build.mkdir.008.log	f	0	1753261992.1360827970		generated_or_vcs	no	
Fast-Drone-250	logs/catkin_tools_prebuild/build.cache-manifest.log	/home/ubuntu/Fast-Drone-250/logs/catkin_tools_prebuild/build.cache-manifest.log	f	0	1753261992.1360827970		generated_or_vcs	no	
Fast-Drone-250	logs/catkin_tools_prebuild/build.mkdir.007.log	/home/ubuntu/Fast-Drone-250/logs/catkin_tools_prebuild/build.mkdir.007.log	f	0	1753261934.8000802050		generated_or_vcs	no	
Fast-Drone-250	logs/catkin_tools_prebuild/build.cmake.001.log.stderr	/home/ubuntu/Fast-Drone-250/logs/catkin_tools_prebuild/build.cmake.001.log.stderr	f	408	1753261892.4040782890		generated_or_vcs	no	
Fast-Drone-250	logs/catkin_tools_prebuild/build.mkdir.004.log	/home/ubuntu/Fast-Drone-250/logs/catkin_tools_prebuild/build.mkdir.004.log	f	0	1753261924.4320797370		generated_or_vcs	no	
